League,College,Count,LeagueTotal,Percentage,Rank
NFL,San Diego State University,152,24459,0.6214481376998242,48.0
MLB,Amherst College,14,7540,0.1856763925729443,49.0
MLB,Bowling Green State University,14,7540,0.1856763925729443,49.0
MLB,Bradley University,14,7540,0.1856763925729443,49.0
MLB,Central Michigan University,14,7540,0.1856763925729443,49.0
MLB,Chabot College,14,7540,0.1856763925729443,49.0
MLB,Dallas Baptist University,14,7540,0.1856763925729443,49.0
MLB,Florida International University,14,7540,0.1856763925729443,49.0
MLB,Georgia Southern University,14,7540,0.1856763925729443,49.0
MLB,Gulf Coast Community College,14,7540,0.1856763925729443,49.0
MLB,Long Beach City College,14,7540,0.1856763925729443,49.0
MLB,Mount San Antonio College,14,7540,0.1856763925729443,49.0
MLB,University of Memphis,14,7540,0.1856763925729443,49.0
MLB,University of San Francisco,14,7540,0.1856763925729443,49.0
NBA,Albany State University,5,4371,0.11439029970258523,49.0
NBA,Butler University,5,4371,0.11439029970258523,49.0
NBA,Columbia University,5,4371,0.11439029970258523,49.0
NBA,Hofstra University,5,4371,0.11439029970258523,49.0
NBA,Illinois State University,5,4371,0.11439029970258523,49.0
NBA,Iona College,5,4371,0.11439029970258523,49.0
NBA,Morehead State University,5,4371,0.11439029970258523,49.0
NBA,Norfolk State University,5,4371,0.11439029970258523,49.0
NBA,North Carolina Agricultural and Technical State University,5,4371,0.11439029970258523,49.0
NBA,Northeastern University,5,4371,0.11439029970258523,49.0
NBA,San Diego State University,5,4371,0.11439029970258523,49.0
NBA,Southern University and A&M College,5,4371,0.11439029970258523,49.0
NBA,University of Arkansas at Little Rock,5,4371,0.11439029970258523,49.0
NBA,University of California-Santa Barbara,5,4371,0.11439029970258523,49.0
NBA,University of Louisiana at Monroe,5,4371,0.11439029970258523,49.0
NBA,University of Montana,5,4371,0.11439029970258523,49.0
NBA,University of New Orleans,5,4371,0.11439029970258523,49.0
NBA,University of North Texas,5,4371,0.11439029970258523,49.0
NBA,University of South Alabama,5,4371,0.11439029970258523,49.0
NBA,University of South Florida,5,4371,0.11439029970258523,49.0
NFL,Mississippi State University,151,24459,0.6173596631096938,49.0
NFL,North Carolina State University,151,24459,0.6173596631096938,49.0
MLB,California State University-Northridge,13,7540,0.1724137931034483,50.0
MLB,Cypress College,13,7540,0.1724137931034483,50.0
